Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Customer State,Zip Code,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
193,6/20/2010,Critical,14,174.89,0.06,Regular Air,-37.04,12.44,6.27,Justin Hirsh,Arizona,85233,West,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57,6/22/2010
194,2/16/2012,Medium,49,329.03,0.1,Regular Air,-197.25,7.28,7.98,Maria Zettner,Georgia,30002,South,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42,2/18/2012
194,2/16/2012,Medium,6,20.19,0.04,Regular Air,-13.44,3.14,1.92,Maria Zettner,Georgia,30002,South,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84,2/18/2012
195,11/9/2010,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,Brad Thomas,Connecticut,6074,East,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41,11/11/2010
197,2/17/2011,High,23,310.52,0.01,Regular Air,33.22,12.98,3.14,Penelope Sewall,Ohio,45999,Central,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack,0.6,2/19/2011
224,4/30/2009,Not Specified,25,184.86,0.09,Regular Air,-33.95,7.38,5.21,Bart Folk,Connecticut,6439,East,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,5/1/2009
224,4/30/2009,Not Specified,33,528.5,0.04,Regular Air,-149.92,15.42,10.68,Bart Folk,Connecticut,6439,East,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,5/1/2009
224,4/30/2009,Not Specified,44,267.85,0.04,Regular Air,-65.43,5.98,5.15,Bart Folk,Connecticut,6439,East,Corporate,Office Supplies,Paper,Xerox 193,Small Box,0.36,5/1/2009
225,4/6/2011,Critical,24,126.58,0.06,Regular Air,18.27,5.58,0.7,Karen Ferguson,North Carolina,27801,South,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,0.6,4/7/2011
225,4/6/2011,Critical,1,23.7,0.05,Regular Air,-8.97,19.84,4.1,Karen Ferguson,North Carolina,27801,South,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,4/8/2011
229,11/10/2010,Critical,24,599.1,0.02,Regular Air,3.8165,24.92,12.98,Peter Fuller,Georgia,39901,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39,11/11/2010
229,11/10/2010,Critical,43,586.11,0.11,Regular Air,98.44,12.64,4.98,Matt Abelman,Mass,2139,East,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48,11/12/2010
230,9/8/2010,Critical,47,2029.75,0.06,Regular Air,320.37,43.98,8.99,Erin Creighton,Texas,77474,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58,9/10/2010
230,9/8/2010,Critical,11,1118.396,0.06,Regular Air,-212.333,125.99,8.08,Erin Creighton,Texas,77474,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57,9/10/2010
231,8/11/2009,High,2,689.74,0.06,Regular Air,-490.84,363.25,19.99,Sean Braxton,Illinois,62999,Central,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57,8/13/2009
258,11/10/2010,Critical,7,201.36,0,Delivery Truck,-284.4,20.98,53.03,Liz Willingham,North Carolina,27010,South,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,11/11/2010
258,11/10/2010,Critical,21,154.35,0,Regular Air,-91.14,6.48,8.74,Liz Willingham,North Carolina,27010,South,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36,11/12/2010
258,11/10/2010,Critical,33,216.77,0.02,Regular Air,-55.108,6.54,5.27,Liz Willingham,North Carolina,27010,South,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36,11/12/2010
261,5/11/2010,Medium,47,5677.609,0.04,Regular Air,1680.786,140.99,4.2,Sonia Sunley,Michigan,49971,Central,Small Business,Technology,Telephones and Communication,7160,Small Box,0.59,5/12/2010
263,3/29/2009,High,25,136.77,0.09,Regular Air,-136.252,5.4,7.78,Paul Lucas,California,96061,West,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.37,3/30/2009
290,11/13/2008,Not Specified,24,188.73,0.05,Regular Air,-32.48,7.64,5.83,Dorris Love,North Carolina,28717,South,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36,11/14/2008
292,11/25/2011,High,43,412.62,0.08,Regular Air,175.54,9.9,1.39,Valerie Takahito,Utah,84001,West,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37,11/26/2011
293,8/14/2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Michigan,49634,Central,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,8/15/2012
293,8/14/2012,High,27,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Michigan,49634,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,8/16/2012
294,5/28/2010,Medium,35,6375.28,0.06,Regular Air,489.02,193.17,19.99,Sanjit Chand,Michigan,49634,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71,5/29/2010
322,1/30/2012,Critical,20,2634.8555,0.08,Regular Air,257.76,155.99,8.08,Giulietta Weimer,Arizona,86409,West,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6,2/1/2012
322,1/30/2012,Critical,46,281,0.1,Regular Air,-291.59,6.48,10.05,Giulietta Weimer,Arizona,86409,West,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37,2/1/2012
323,2/5/2009,Critical,2,55.34,0.06,Regular Air,-31.24,22.84,11.54,Dario Medina,Arizona,85060,West,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,0.39,2/7/2009
323,2/5/2009,Critical,20,108.09,0.07,Regular Air,25.76,5.68,1.39,Dario Medina,Arizona,85060,West,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,0.38,2/7/2009
324,1/31/2012,Critical,25,3872.634,0.02,Regular Air,667.332,179.99,13.99,Frank Gastineau,Idaho,83810,West,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57,2/2/2012
325,8/29/2010,Low,9,884.1275,0.06,Regular Air,-178.706,115.99,4.23,Craig Yedwab,Arizona,85354,West,Corporate,Technology,Telephones and Communication,282,Small Box,0.56,9/2/2010
326,4/16/2011,High,34,218.27,0.03,Regular Air,-44.137,5.99,4.92,Michelle Tran,Idaho,83465,West,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box,0.38,4/17/2011
326,4/16/2011,High,17,100.95,0.05,Regular Air,-21.3,5.81,3.37,Michelle Tran,Idaho,83465,West,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54,4/17/2011
353,11/12/2010,Low,21,46.94,0.02,Regular Air,3.88,2.21,1,Dean Percer,Florida,32099,South,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.38,2/12/2011
355,4/26/2009,Low,16,1239.6315,0,Regular Air,-172.546,85.99,0.99,Henry MacAllister,Texas,77037,Central,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,5/1/2009
358,8/2/2010,High,33,1235.87,0.07,Regular Air,269.27,39.48,1.99,Ricardo Block,Alabama,36350,South,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,8/2/2010
358,8/2/2010,High,33,1640.9,0.02,Delivery Truck,-1348.06,48.58,54.11,Ricardo Block,Alabama,36350,South,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69,8/4/2010
359,10/31/2009,Medium,30,3659.66,0.08,Delivery Truck,-500.38,124.49,51.94,Cari Sayre,Idaho,83877,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,0.63,11/1/2009
384,1/14/2012,Low,50,7666.04,0.02,Delivery Truck,-1820.84,146.05,80.2,Sonia Cooley,Connecticut,6817,East,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.71,1/21/2012
386,12/7/2010,High,4,15.69,0.09,Regular Air,-1.59,3.85,0.7,Tracy Poddar,Idaho,83465,West,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.44,12/9/2010
386,12/7/2010,High,4,14.96,0.02,Regular Air,-0.03,3.69,0.5,Tracy Poddar,Idaho,83465,West,Corporate,Office Supplies,Labels,Avery 501,Small Box,0.38,12/9/2010
388,10/28/2012,Not Specified,46,517.93,0.06,Regular Air,-94.73,11.7,6.96,Jennifer Halladay,Connecticut,6439,East,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5,10/31/2012
416,8/9/2010,Low,20,1156.6715,0.01,Express Air,88.524,65.99,7.69,Stuart Calhoun,Utah,84337,West,Consumer,Technology,Telephones and Communication,5190,Small Box,0.59,8/14/2010
417,12/19/2008,Medium,39,15260.78,0.07,Delivery Truck,8734.88,500.98,28.14,Robert Barroso,California,96121,West,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.38,12/20/2008
417,12/19/2008,Medium,3,540.41,0.1,Regular Air,-170.98,178.47,19.99,Robert Barroso,California,96121,West,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,0.55,12/21/2008
420,9/12/2011,Not Specified,8,43.29,0.09,Regular Air,-20.69,4.98,4.86,Tony Sayre,New York,501,East,Small Business,Office Supplies,Paper,Xerox 190,Small Box,0.38,9/12/2011
420,9/12/2011,Not Specified,6,41.7,0.03,Regular Air,-14.56,5.78,5.37,Tony Sayre,New York,501,East,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,0.36,9/14/2011
448,7/3/2011,Medium,22,1162.4005,0.09,Regular Air,-284.625,65.99,19.99,Brad Thomas,Connecticut,6074,East,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,0.59,7/5/2011
449,6/1/2011,High,45,356.7,0.02,Regular Air,-48.97,7.38,5.21,Candace McMahon,Virginia,24658,South,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,6/3/2011
450,1/15/2011,Not Specified,29,1000.78,0.05,Express Air,109.33,34.58,8.99,Matt Collins,Michigan,48001,Central,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56,1/16/2011
450,1/15/2011,Not Specified,35,543.72,0.05,Regular Air,-211.13,15.7,11.25,Matt Collins,Michigan,48001,Central,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,1/17/2011
454,11/8/2011,Low,42,234.2,0.09,Regular Air,56.22,6.08,1.82,Darrin Martin,South Carolina,29684,South,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.35,11/10/2011
481,8/20/2012,High,44,4509.3775,0.01,Regular Air,1426.257,115.99,5.26,Art Foster,Illinois,60001,Central,Home Office,Technology,Telephones and Communication,636,Small Box,0.57,8/22/2012
483,5/23/2011,High,30,4965.7595,0.08,Regular Air,1198.971,195.99,3.99,Clay Rozendal,Delaware,19980,East,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,5/25/2011
487,6/30/2012,Critical,19,210.4,0.07,Regular Air,-18.96,10.89,4.5,Valerie Dominguez,Ohio,45999,Central,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59,7/1/2012
512,4/1/2011,Low,6,1309.53,0.06,Regular Air,19.18,218.08,18.06,Sam Craven,Georgia,31569,South,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,4/1/2011
512,4/1/2011,Low,48,806.37,0.01,Express Air,-166.4,15.42,10.68,Sam Craven,Georgia,31569,South,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,4/3/2011
513,3/13/2011,High,33,5437.92,0,Delivery Truck,-684.57,150.89,60.2,Arthur Prichep,California,91188,West,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.77,3/13/2011
515,7/11/2010,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Michigan,49822,Central,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,7/13/2010
515,7/11/2010,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Michigan,49822,Central,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,7/13/2010
548,8/3/2009,Critical,29,202.95,0.02,Regular Air,-50.64,6.48,5.9,Sung Chung,South Carolina,29941,South,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,0.37,8/4/2009
548,8/3/2009,Critical,41,129.49,0.04,Regular Air,36.02,3.08,0.99,Sung Chung,South Carolina,29941,South,Home Office,Office Supplies,Labels,Avery 481,Small Box,0.37,8/4/2009
548,8/3/2009,Critical,26,2753.1925,0.04,Regular Air,510.489,125.99,4.2,Sung Chung,South Carolina,29941,South,Home Office,Technology,Telephones and Communication,V3682,Small Box,0.59,8/5/2009
549,5/25/2012,Critical,30,1150.88,0.05,Express Air,-911.56,38.94,35,Ken Brennan,Washington,98390,West,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,5/25/2012
549,5/25/2012,Critical,5,40.75,0.05,Regular Air,-27.57,6.48,8.74,Ken Brennan,Washington,98390,West,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.36,5/26/2012
549,5/25/2012,Critical,13,70.24,0.03,Regular Air,-59.75,4.98,7.44,Ken Brennan,Washington,98390,West,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.36,5/26/2012
610,6/14/2011,Critical,38,283.65,0.02,Express Air,-29.21,6.68,5.41,Joe Elijah,Texas,77037,Central,Home Office,Office Supplies,Paper,Xerox 195,Small Box,0.37,6/16/2011
611,12/9/2009,Critical,47,840.04,0.04,Regular Air,-131.27,17.7,9.47,Arthur Prichep,California,91188,West,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,Small Box,0.59,12/11/2009
612,9/2/2012,Medium,50,262.87,0.1,Regular Air,-166.29,5.28,6.26,Sheri Gordon,Nebraska,68155,Central,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,0.4,9/4/2012
612,9/2/2012,Medium,43,2531.0875,0.01,Regular Air,881.676,65.99,2.5,Sheri Gordon,Nebraska,68155,Central,Corporate,Technology,Telephones and Communication,6190,Small Box,0.55,9/4/2012
613,4/30/2011,High,12,93.54,0.03,Regular Air,-54.0385,7.3,7.72,Carl Jackson,Michigan,49634,Central,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,4/30/2011
613,4/30/2011,High,22,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl Jackson,Michigan,49634,Central,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0.59,5/1/2011
614,10/13/2012,High,24,3366.1,0.07,Delivery Truck,-633.68,138.75,52.42,Dave Hallsten,Texas,78702,Central,Corporate,Furniture,Tables,Balt Split Level Computer Training Table,Jumbo Box,0.74,10/14/2012
614,10/13/2012,High,41,628.22,0,Regular Air,163.81,14.34,5,Dave Hallsten,Texas,78702,Central,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49,10/15/2012
640,12/5/2009,High,39,4913.69,0.02,Delivery Truck,-1153.9,120.98,58.64,Tamara Chand,Delaware,19895,East,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,0.75,12/6/2009
640,12/5/2009,High,24,464.77,0.01,Regular Air,29.42,18.97,9.54,Tamara Chand,Delaware,19895,East,Consumer,Office Supplies,Paper,Xerox 1939,Small Box,0.37,12/6/2009
643,2/4/2011,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,New Jersey,8989,East,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0.85,2/5/2011
644,3/13/2012,Critical,5,1679.58,0.01,Delivery Truck,-171.92,320.98,58.95,Bill Eplett,North Carolina,28633,South,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,3/14/2012
645,10/15/2009,High,42,557.85,0.05,Regular Air,89.4455,12.95,4.98,Harold Engle,Michigan,49634,Central,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,0.4,10/17/2009
646,10/4/2009,High,18,173.2,0.01,Regular Air,-10.9,9.31,3.98,Duane Huffman,Delaware,19810,East,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles,Small Pack,0.56,10/5/2009
678,1/9/2010,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Delaware,19895,East,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,1/9/2010
706,7/22/2011,Critical,42,75.14,0.05,Regular Air,0.82,1.76,0.7,Sarah Jordon,Mass,1441,East,Consumer,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,7/24/2011
710,11/14/2009,Low,11,447.09,0.09,Regular Air,89.03,41.32,8.66,Susan MacKendrick,Ohio,43002,Central,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76,11/16/2009
710,11/14/2009,Low,29,4192.88,0.02,Delivery Truck,731.32,145.45,17.85,Susan MacKendrick,Ohio,43002,Central,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,11/18/2009
710,11/14/2009,Low,42,161.77,0.01,Regular Air,-150.374,3.58,5.47,Susan MacKendrick,Ohio,43002,Central,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,0.37,11/18/2009
738,1/12/2010,Not Specified,31,189.95,0.08,Regular Air,-56.68,6.48,5.14,Caroline Jumper,Ohio,43567,Central,Corporate,Office Supplies,Paper,Xerox 23,Small Box,0.37,1/13/2010
738,1/12/2010,Not Specified,7,560.51,0.04,Regular Air,32.6,80.98,4.5,Caroline Jumper,Ohio,43567,Central,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,0.59,1/14/2010
740,5/28/2011,Medium,6,28.01,0.09,Regular Air,3.46,4.98,0.49,Thomas Boland,Colorado,81124,West,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,0.39,5/28/2011
769,4/14/2010,Medium,37,4261.94,0.02,Delivery Truck,4.15,115.99,56.14,Roy French,Delaware,19934,East,Consumer,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4,4/15/2010
771,4/29/2011,Critical,18,88.84,0.08,Regular Air,-38.35,4.98,4.72,Darrin Van Huff,Alabama,36544,South,Home Office,Office Supplies,Paper,Xerox 1949,Small Box,0.36,4/30/2011
772,2/27/2010,High,35,589.24,0.08,Regular Air,-38.35,17.52,8.17,Pamela Stobb,Nebraska,69367,Central,Consumer,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,Medium Box,0.5,3/1/2010
772,2/27/2010,High,25,233.05,0.1,Regular Air,86.93,9.9,1.39,Pamela Stobb,Nebraska,69367,Central,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37,3/1/2010
773,8/8/2010,Medium,38,2071.3395,0.06,Regular Air,324.927,65.99,8.99,Helen Abelman,Michigan,49822,Central,Home Office,Technology,Telephones and Communication,Talkabout T8367,Small Box,0.56,8/9/2010
774,10/16/2011,Critical,17,126.57,0.03,Regular Air,-752.13,4.48,49,Sibella Parks,Connecticut,6703,East,Small Business,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,10/18/2011
775,1/28/2011,Critical,35,43.57,0.1,Regular Air,-19.17,1.26,0.7,Peter McVee,California,94404,West,Small Business,Office Supplies,Rubber Bands,Bagged Rubber Bands,Wrap Bag,0.81,1/29/2011
